title,price,rating,total_reviews,product_description,shoe type,merk,review1,review_rating1,review2,review_rating2,review3,review_rating3,review4,review_rating4,review5,review_rating5,review6,review_rating6,review7,review_rating7,review8,review_rating8,review9,review_rating9,review10,review_rating10
t-rock men's sports shoes,₹336.00,2.9 out of 5 stars,5032 ratings,flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of t-rock  brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. this pair is having classic style which will add glamour to your look. these shoes go well with your casual wear. team it with your casual attire to complete your perfect casual or party look.,men,t-rock men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
t-rock men's sneaker casual shoes (white,₹399.00,3.6 out of 5 stars,27 ratings,flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of t-rock  brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. this pair is having classic style which will add glamour to your look. these shoes go well with your casual wear. team it with your casual attire to complete your perfect casual or party look.,men,t-rock men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
maddy mesh sports latest stylish casual sneakerslace up lightweight shoes for running walking gym & training shoes for men's,₹379.00,2.5 out of 5 stars,4 ratings,make a note to get noticed as you adorn this pair of extra lite pvc sole sports running shoes for for men. these comfortable durable and lightweight sports shoes will become your favorite in no time. crafted from a rich quality material this pair of mens running shoes promises to keep your feet at ease all day long. sock liner provides comfort soft cushion layers provide for good stability and speed. lace-ups ensure great comfort and provide proper grip to your feet. an all-weather staple this pvc sole footwear can be teamed with your varied outfits. maddy believes on quality you can buy any casual sports shoes from maddy to looks better. this adorable lightweight casual shoes will be your feet's best friend. designed as per the latest trend this pair will catch every style-conscious everybody attention. the comfortable upper lining and sole of these lite running shoes will keep your feet super happy whenever you slip these on! this is an excellent pair of shoes or casuals with the best quality at the best price.,men,maddy mesh,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
kraasa sneakers for men,₹416.00,3.5 out of 5 stars,2468 ratings,these are worn usually with casual and informal attires but it also depends upon the choice of the wearer. our sneakers are available in eye catching looks and designs.,men,kraasa sneakers,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
aadi men's sports shoes,₹339.00,3.2 out of 5 stars,952 ratings,aadi shoes,men,aadi men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
flite men boat shoes,₹224.00,3.6 out of 5 stars,1977 ratings,sparx presents footwear range that will keep your feet at great ease while you walk run or work out in the gym. these are light in weight flexible and very comfortable to wear as well.,men,flite men,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
white walkers men's & boys multicolor running casual sports shoes,₹499.00,3.6 out of 5 stars,263 ratings,white walkers grip sport is back and packed with even more style and comfort. the grip fusion sport updates the ultra-comfortable grip fusion with a new mesh upper for increased breathability and comfort. built on the anatomically shaped grip comfort last with more volume for your foot the heather mesh forefoot and sporty upper sits on top a new fusionfoam midsole comprised mixture of super soft eva foam and ultra-responsive rubber that provides a cushioned feel and all-day comfort.,men,white walkers,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
shoefly men multicolour latest collection sports running shoes - pack of 2 (combo-(2)-9064-1200),₹412.00,2.9 out of 5 stars,32 ratings, shoefly men's canvas casual wear sports/shoes they are exclusively designed to match the latest trends of the new generation. this pair of shoes is sure to make you look smart & classy. these will go with most of your casual outfits. this product is made of premium quality and highly material. the perfect combo of good looks & comfort. these shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. this pair of casual shoes from shoefly is designed especially for the fashion forward men. ,men,shoefly men,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
stranger brothers white sneakers shoes for men,₹469.00,2.9 out of 5 stars,8 ratings,"""stranger brothers"" shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. they are exclusively designed to match the latest trends of the new generation. this pair of shoes is sure to make you look smart & classy. these will go with most of your casual outfits. this product is made of premium quality and highly material. wearing this prime quality amazing and cozy shoe with the combination of jeans and t-shirt. it presents standard look to your personality. we are always providing latest fashion shoes for men's casual shoes for men.",men,stranger brothers,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
b.r.k. men's denim casual shoe,₹365.00,4.0 out of 5 stars,43 ratings,stop stop stop!! are you looking for branded shoe so brk trade mark company brought a very stylish comfortable  valuable floatable walkable and with an excellent design this pair of shoes is an elegant choice for all fashion-savvy men.complete your smart outfit matching these shoes with a slim shirt and a pair of trousers.the sole promises great traction on the surface thus promising ultimate comfort whereas the perforated design is for added appeal. put on an unruffled and spontaneous look wearing this pair of modish shoes designed to pull off a magnificent persona. smart and stylish these casual shoes for men are a must have in your footwear closet. team this trendy pair with jeans and a t-shirt as you get ready for an outing. buy this online from amazon.com to complete your look.,men,b.r.k. men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men's wonder rain shoe,₹419.00,4.0 out of 5 stars,99 ratings,experience great comfort walking in this pair of men's casual shoes from the house of bata featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,bata men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
paragon men's flip-flops,₹132.00,4.2 out of 5 stars,16821 ratings,a part of paragon's paralite range of footwear paralite 1140 are stylish flip-flops for men with thong straps and a light heel. the flip-flops are long-lasting and comfortable. they come in two color options - black body with a red line along the heel or navy blue body with an orange line along the heel.,men,paragon men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
aqualite men's eal00636g clog,₹249.00,3.9 out of 5 stars,62 ratings,update your footwear collection with something stylish in the form of these sneaker from the house of aqualite.,men,aqualite men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
gwal g men's synthetic leather formal shoes/office wear shoes (black),₹399.00,3.6 out of 5 stars,16 ratings, 😎shree gwal baba traders😎 the pair of shoes you see above has gone through the finest handmade craftsmanship and hard work from the people behind its creation. we hope you will love wearing these as much as we loved creating them. all soles used in our shoes are anti-skin to provide good grip also the insoles are cushioned to provide the maximum comfort for long hours. wear it in office wedding or that special occasion these shoes are a must have to add that classy quotient to your wardrobe.  ,men,gwal g,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men's swift loafers,₹419.00,3.7 out of 5 stars,26 ratings,experience great comfort walking in this pair of casual shoes from the house of bata featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,men,bata men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
von huette men's black/brown panny loafer shoes,₹304.00,5.0 out of 5 stars,1 rating,von huette is highly fashionable footwear brand catering to all age groups for men women and children. von huette shoes are made from high quality synthetic and leather material with best quality tpr and rubber soles for comfortable wearing with memory foam inner sole and comfortable sole. von huette shoes can be worn for party office casual wear and formal wear. slip-ons are typically low lace-less shoes. the style most commonly seen known as a loafer or slippers in american culture has a moccasin construction. ... a less casual earlier type of slip-on is made with side gussets (sometimes called a dress loafer).,men,von huette,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
road runner men's multicolor kl-710 casual sports running shoes,₹389.00,3.8 out of 5 stars,9 ratings,road runner is a pursuit of simple comfortable fashionable and lightweight protection shoes. very impressed with these mens athletic shoes. wanted a good running shoe with a sporty look and that is exactly what these shoes are. they are very light in weight which makes it even more comfortable. you wear it to gym and whenever you play racketball.,men,road runner,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
t-rock men's navy blue running shoes,₹394.00,3.5 out of 5 stars,1614 ratings,flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of t-rock brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. this pair is having classic style which will add glamour to your look. these shoes go well with your casual wear. team it with your casual attire to complete your perfect casual or party look.,men,t-rock men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
centrino men formal shoes,₹399.00,3.8 out of 5 stars,1759 ratings,centrino is a value footwear brand for men. our range consists of basic and updated basic products across both formal and casual footwear. we offer the right blend of quality style and value aimed to delight our customers.,men,centrino men,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
sparx men's sd0631g casual shoes,₹438.00,4.2 out of 5 stars,981 ratings,the product will be an excellent pick for you. it ensures an easy maintenance.,men,sparx men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
ethics men's stylish sports running shoes,₹499.00,3.7 out of 5 stars,500 ratings,ethics introduces a globally inspired & innovative footwear line for the youth that is also cost-effective. as each pair of ethics footwear is ultra light comfortable durable ready to take on challenges and perform with gusto and energy. amazon presents an amazing range of ethics footwear for men/boys who want to look perfect for every occasion.,men,ethics men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
bata men's denim sneaker,₹489.00,5.0 out of 5 stars,2 ratings,very trendy and comfortable shoes,men,bata men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
t-rock socks light weight sports running shoes,₹449.00,3.4 out of 5 stars,1413 ratings,flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of t-rock  brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. this pair is having classic style which will add glamour to your look. these shoes go well with your casual wear. team it with your casual attire to complete your perfect casual or party look.,men,t-rock socks,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
prolific men's sneakers & sports running lace up shoes,₹498.00,3.2 out of 5 stars,6 ratings,spruce up your party style with this pair of casual from prolific. made from imported material with featuring panel and stitch detail these shoes is sure to add to your macho quotient. pair up with rugged jeans & indo western dresses and watch others go gaga over your style. prolific presents their collection of footwear to match your corporate profile as well as your casual style. crafted with quality and the latest trends in mind their footwear ensures you never stay out of style even in your formal self.,men,prolific men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
kraasa men's sports shoe,₹416.00,3.4 out of 5 stars,849 ratings,these are worn usually with casual and informal attires but it also depends upon the choice of the wearer. our sports shoes are available in eye catching looks and designs.,men,kraasa men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
t-rock men's casual loafers for men (tan,₹395.00,3.7 out of 5 stars,539 ratings,flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of t-rock  brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. this pair is having classic style which will add glamour to your look. these shoes go well with your casual wear. team it with your casual attire to complete your perfect casual or party look.,men,t-rock men's,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
athleo by action men fabric sports running shoes (grey),₹479.00,4.3 out of 5 stars,9 ratings,athleo is a spectacular range of footwear from the house of action shoes. athleo is dedicated to the application of sports science and innovation in the development of high performance comfortable sports shoes the ground breaking materials and innovative with new technology. we make products for a wide range of sports and activities included running trails walking and training or all day comfort wear.,men,athleo by,not happy with product,1.0 out of 5 stars,it's not as expected.,1.0 out of 5 stars,average product,3.0 out of 5 stars,pic more beautiful,3.0 out of 5 stars,got damage product. but quality is average for 300₹,3.0 out of 5 stars,bad product different from what was listed,2.0 out of 5 stars,worst product,1.0 out of 5 stars,don't buy,2.0 out of 5 stars,low quality makes pain on heals by sharp edges inside shoes,1.0 out of 5 stars,do not buy it anyway,1.0 out of 5 stars
